2026-03-16 15:15:00 | INFO     | src.infrastructure.container | DB path resolved: C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:15:00 | INFO     | src.infrastructure.adapters.output.db_sqlite | SQLiteTenantRepository ready — C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:15:00 | INFO     | src.infrastructure.container | SQLite repository initialized
2026-03-16 15:15:01 | INFO     | src.infrastructure.container | Gemini configured — model=gemini-2.5-flash key=SET
2026-03-16 15:15:01 | INFO     | src.infrastructure.adapters.output.doc_generator | DocxEngine output dir: C:\proyecto\derecho_peticion\generated_docs
2026-03-16 15:15:03 | INFO     | src.infrastructure.adapters.output.knowledge_base | ChromaKnowledgeBase ready — C:\proyecto\derecho_peticion\chroma_db
2026-03-16 15:15:03 | INFO     | src.infrastructure.container | Knowledge base: ENABLED
2026-03-16 15:15:03 | INFO     | src.infrastructure.adapters.output.db_sqlite | SQLiteTenantRepository ready — C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:15:03 | INFO     | __main__ | Container initialized successfully
2026-03-16 15:15:03 | INFO     | __main__ | FastAPI app ready — routes registered
2026-03-16 15:15:08 | INFO     | __mp_main__ | Starting application — project root: C:\proyecto\derecho_peticion
2026-03-16 15:15:08 | INFO     | src.infrastructure.container | DB path resolved: C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:15:08 | INFO     | src.infrastructure.adapters.output.db_sqlite | SQLiteTenantRepository ready — C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:15:08 | INFO     | src.infrastructure.container | SQLite repository initialized
2026-03-16 15:15:09 | INFO     | src.infrastructure.container | Gemini configured — model=gemini-2.5-flash key=SET
2026-03-16 15:15:09 | INFO     | src.infrastructure.adapters.output.doc_generator | DocxEngine output dir: C:\proyecto\derecho_peticion\generated_docs
2026-03-16 15:15:10 | INFO     | src.infrastructure.adapters.output.knowledge_base | ChromaKnowledgeBase ready — C:\proyecto\derecho_peticion\chroma_db
2026-03-16 15:15:10 | INFO     | src.infrastructure.container | Knowledge base: ENABLED
2026-03-16 15:15:10 | INFO     | src.infrastructure.adapters.output.db_sqlite | SQLiteTenantRepository ready — C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:15:10 | INFO     | __mp_main__ | Container initialized successfully
2026-03-16 15:15:10 | INFO     | __mp_main__ | FastAPI app ready — routes registered
2026-03-16 15:15:11 | INFO     | main | Starting application — project root: C:\proyecto\derecho_peticion
2026-03-16 15:15:11 | INFO     | src.infrastructure.container | DB path resolved: C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:15:11 | INFO     | src.infrastructure.adapters.output.db_sqlite | SQLiteTenantRepository ready — C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:15:11 | INFO     | src.infrastructure.container | SQLite repository initialized
2026-03-16 15:15:12 | INFO     | src.infrastructure.container | Gemini configured — model=gemini-2.5-flash key=SET
2026-03-16 15:15:12 | INFO     | src.infrastructure.adapters.output.doc_generator | DocxEngine output dir: C:\proyecto\derecho_peticion\generated_docs
2026-03-16 15:15:13 | INFO     | src.infrastructure.adapters.output.knowledge_base | ChromaKnowledgeBase ready — C:\proyecto\derecho_peticion\chroma_db
2026-03-16 15:15:13 | INFO     | src.infrastructure.container | Knowledge base: ENABLED
2026-03-16 15:15:13 | INFO     | src.infrastructure.adapters.output.db_sqlite | SQLiteTenantRepository ready — C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:15:13 | INFO     | main | Container initialized successfully
2026-03-16 15:15:13 | INFO     | main | FastAPI app ready — routes registered
